"OFFICE","YEAR","QUARTER","CATEGORY","YTD","AMOUNT"
"OFFICE OF THE SPEAKER","2012","2012Q2","PERSONNEL BENEFITS","12,499.98","6,249.99"
"OFFICE OF THE SPEAKER","2012","2012Q2","FRANKED MAIL","660.09","456.90"
"OFFICE OF THE SPEAKER","2012","2012Q2","PERSONNEL COMPENSATION","2,645,715.34","1,323,150.06"
"OFFICE OF THE SPEAKER","2012","2012Q2","TRAVEL","4,391.38","3,035.96"
"OFFICE OF THE SPEAKER","2012","2012Q2","RENT, COMMUNICATION, UTILITIES","231.18","231.18"
"OFFICE OF THE SPEAKER","2012","2012Q2","PRINTING AND REPRODUCTION","2,057.60","1,115.50"
"OFFICE OF THE SPEAKER","2012","2012Q2","OTHER SERVICES","6,165.50","0.00"
"OFFICE OF THE SPEAKER","2012","2012Q2","SUPPLIES AND MATERIALS","36,584.28","22,305.37"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q2","FRANKED MAIL","123.32","44.80"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q2","PERSONNEL COMPENSATION","1,061,530.51","539,524.07"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q2","TRAVEL","2,827.83","2,203.78"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q2","RENT, COMMUNICATION, UTILITIES","1,222.26","170.45"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q2","PRINTING AND REPRODUCTION","541.24","357.66"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q2","OTHER SERVICES","1,579.11","1,170.00"
"OFFICE OF THE MAJORITY LEADER","2012","2012Q2","SUPPLIES AND MATERIALS","50,303.91","3,599.65"
"OFFICE OF THE MINORITY LEADER","2012","2012Q2","FRANKED MAIL","201.99","98.42"
"OFFICE OF THE MINORITY LEADER","2012","2012Q2","PERSONNEL COMPENSATION","3,331,365.09","1,691,182.50"
"OFFICE OF THE MINORITY LEADER","2012","2012Q2","TRAVEL","71,788.13","42,110.27"
"OFFICE OF THE MINORITY LEADER","2012","2012Q2","RENT, COMMUNICATION, UTILITIES","1,249.80","648.80"
"OFFICE OF THE MINORITY LEADER","2012","2012Q2","PRINTING AND REPRODUCTION","4,323.18","3,125.31"
"OFFICE OF THE MINORITY LEADER","2012","2012Q2","OTHER SERVICES","51,416.75","29,226.25"
"OFFICE OF THE MINORITY LEADER","2012","2012Q2","SUPPLIES AND MATERIALS","62,523.55","36,771.93"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q2","PERSONNEL COMPENSATION","837,966.68","433,133.33"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q2","RENT, COMMUNICATION, UTILITIES","237.23","4.23"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q2","PRINTING AND REPRODUCTION","32.00","32.00"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q2","OTHER SERVICES","3,547.00","3,547.00"
"OFFICE OF THE MAJORITY WHIP","2012","2012Q2","SUPPLIES AND MATERIALS","53,248.50","34,709.80"
"OFFICE OF THE MINORITY WHIP","2012","2012Q2","FRANKED MAIL","23.88","0.00"
"OFFICE OF THE MINORITY WHIP","2012","2012Q2","PERSONNEL COMPENSATION","609,033.31","312,381.97"
"OFFICE OF THE MINORITY WHIP","2012","2012Q2","TRAVEL","418.55","418.55"
"OFFICE OF THE MINORITY WHIP","2012","2012Q2","RENT, COMMUNICATION, UTILITIES","520.15","350.15"
"OFFICE OF THE MINORITY WHIP","2012","2012Q2","PRINTING AND REPRODUCTION","5,897.40","6.40"
"OFFICE OF THE MINORITY WHIP","2012","2012Q2","OTHER SERVICES","1,180.51","864.17"
"OFFICE OF THE MINORITY WHIP","2012","2012Q2","SUPPLIES AND MATERIALS","19,529.70","15,320.13"
"DEMOCRATIC CAUCUS","2012","2012Q2","FRANKED MAIL","15.11","3.15"
"DEMOCRATIC CAUCUS","2012","2012Q2","PERSONNEL COMPENSATION","676,142.98","369,584.25"
"DEMOCRATIC CAUCUS","2012","2012Q2","TRAVEL","14,922.36","0.00"
"DEMOCRATIC CAUCUS","2012","2012Q2","PRINTING AND REPRODUCTION","78.80","72.40"
